productName,priceInDollar,rating,numberOfRates,Link
Kingston USB-3.1/3.0/2.0 Data Traveler 50 16 GB Pen Drive,4.05,4.2,"2,836",https://www.flipkart.com/kingston-usb-3-1-3-0-2-0-data-traveler-50-16-gb-pen-drive/p/itmf3qy9sdky8ezx?pid=ACCEZNZ2TZ45UZJG&lid=LSTACCEZNZ2TZ45UZJGRTIYUP&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=c5702974-c29b-470c-bf3c-f23884e33e8e.ACCEZNZ2TZ45UZJG.SEARCH&ssid=y2tw89m7w00000001585149132595&qH=72efd12dbd65e919
Kingston USB 3.0 Data Traveler 50- 32 GB Pen Drive,6.36,4.3,"2,720",https://www.flipkart.com/kingston-usb-3-0-data-traveler-50-32-gb-pen-drive/p/itmf3qy9wtmjvygn?pid=ACCEZNZ2XKGGF6AX&lid=LSTACCEZNZ2XKGGF6AXM9B89P&marketplace=FLIPKART&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=c5702974-c29b-470c-bf3c-f23884e33e8e.ACCEZNZ2XKGGF6AX.SEARCH&ssid=y2tw89m7w00000001585149132595&qH=72efd12dbd65e919
"Kingston DTIG4 USB 3.0, 32 GB Pen Drive",7.36,4.2,"10,085",https://www.flipkart.com/kingston-dtig4-usb-3-0-32-gb-pen-drive/p/itmf3qy9huepxbe4?pid=ACCDWKHJZPVUNH8H&lid=LSTACCDWKHJZPVUNH8HW2PN6D&marketplace=FLIPKART&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=c5702974-c29b-470c-bf3c-f23884e33e8e.ACCDWKHJZPVUNH8H.SEARCH&ssid=y2tw89m7w00000001585149132595&qH=72efd12dbd65e919
"Kingston DTIG4 USB 3.0, 16 GB Pen Drive",4.58,4.2,"6,344",https://www.flipkart.com/kingston-dtig4-usb-3-0-16-gb-pen-drive/p/itmf3qy9cyj8emdg?pid=ACCDWKHJM9GXUXNF&lid=LSTACCDWKHJM9GXUXNFQNDAJQ&marketplace=FLIPKART&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=c5702974-c29b-470c-bf3c-f23884e33e8e.ACCDWKHJM9GXUXNF.SEARCH&ssid=y2tw89m7w00000001585149132595&qH=72efd12dbd65e919
Kingston DT50 DataTraveler 50 - 16GB Pendrive - USB 3.1/3.0/2.0 16 GB Pen Drive,4.59,4.3,433,https://www.flipkart.com/kingston-dt50-datatraveler-50-16gb-pendrive-usb-3-1-3-0-2-0-16-gb-pen-drive/p/itmf3qyadfqfdjc3?pid=ACCF3K89AHMCUK7M&lid=LSTACCF3K89AHMCUK7MLMVKBK&marketplace=FLIPKART&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=c5702974-c29b-470c-bf3c-f23884e33e8e.ACCF3K89AHMCUK7M.SEARCH&ssid=y2tw89m7w00000001585149132595&qH=72efd12dbd65e919
Kingston C-USB3L-SR128-EN 128 GB OTG Drive,54.4,4.1,15,https://www.flipkart.com/kingston-c-usb3l-sr128-en-128-gb-otg-drive/p/itmf8grywbsbwcnd?pid=ACCF8GRYR9MYAXAJ&lid=LSTACCF8GRYR9MYAXAJ4ROCEL&marketplace=FLIPKART&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=c5702974-c29b-470c-bf3c-f23884e33e8e.ACCF8GRYR9MYAXAJ.SEARCH&ssid=y2tw89m7w00000001585149132595&qH=72efd12dbd65e919
Kingston Metal USB Flash Drive DT50 32 GB Pen Drive,7.59,3.9,10,https://www.flipkart.com/kingston-metal-usb-flash-drive-dt50-32-gb-pen/p/itm44784a8311fb1?pid=ACCFMHKSFYP5ZMFQ&lid=LSTACCFMHKSFYP5ZMFQNF9HUS&marketplace=FLIPKART&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=c5702974-c29b-470c-bf3c-f23884e33e8e.ACCFMHKSFYP5ZMFQ.SEARCH&ssid=y2tw89m7w00000001585149132595&qH=72efd12dbd65e919
Kingston Metal USB Flash Drive DT50 16 GB Pen Drive,5.89,4.1,129,https://www.flipkart.com/kingston-metal-usb-flash-drive-dt50-16-gb-pen/p/itmbcf610d87efbd?pid=ACCFMHMJR2AR9QPU&lid=LSTACCFMHMJR2AR9QPU3WYDF0&marketplace=FLIPKART&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=c5702974-c29b-470c-bf3c-f23884e33e8e.ACCFMHMJR2AR9QPU.SEARCH&ssid=y2tw89m7w00000001585149132595&qH=72efd12dbd65e919
Kingston DT50 DataTraveler 50 - 32GB Pendrive - USB 3.1/3.0/2.0 32 GB Pen Drive,7.85,4.3,"2,847",https://www.flipkart.com/kingston-dt50-datatraveler-50-32gb-pendrive-usb-3-1-3-0-2-0-32-gb-pen-drive/p/itmf3synd94n7yub?pid=ACCF3SYN9ME6YKNU&lid=LSTACCF3SYN9ME6YKNULMH9A3&marketplace=FLIPKART&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=c5702974-c29b-470c-bf3c-f23884e33e8e.ACCF3SYN9ME6YKNU.SEARCH&ssid=y2tw89m7w00000001585149132595&qH=72efd12dbd65e919
Kingston DTDUO3/32GBIN 32 GB OTG Drive,10.49,3,5,https://www.flipkart.com/kingston-dtduo3-32gbin-32-gb-otg-drive/p/itmf7h7uzjgemvt2?pid=ACCF7H7UFQXZZ5BP&lid=LSTACCF7H7UFQXZZ5BPPXDW3T&marketplace=FLIPKART&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=c5702974-c29b-470c-bf3c-f23884e33e8e.ACCF7H7UFQXZZ5BP.SEARCH&ssid=y2tw89m7w00000001585149132595&qH=72efd12dbd65e919
